name,description,filename
Deadpool,"Sarcastic, immortal mercenary with a healing factor and breaks the fourth wall.",deadpool.png
Hulk,Scientist turns into a giant green powerhouse when angry.,hulk.webp
Batman,"Vigilante detective who fights crime using intellect, gadgets, and fear.",Batman.png
Spider-Man,"Teenage hero with spider-like abilities, balancing life and responsibility.",spiderman.jpg
Joker,"Psychotic criminal mastermind, obsessed with chaos and Batman's downfall.",Joker.jpg
Iron Man,Genius billionaire in a high-tech suit of armor.,ironman.jpg
Green Lantern,Hero with a power ring fueled by willpower.,Green Lantern.jpg
Captain America,"Super-soldier with a shield, symbol of justice.",Captain America.webp
Wolverine,"Mutant with retractable claws, enhanced senses, and a healing factor.",wolverine.webp
Flash,"Speedster hero who can run at incredible speeds, manipulating time and space.",Flash.png
